Victim Age,count
"(0, 5]",0
"(5, 10]",14190
"(10, 15]",79159
"(15, 20]",50019
"(20, 25]",74658
"(25, 30]",81112
"(30, 35]",75808
"(35, 40]",66977
"(40, 45]",63027
"(45, 50]",61320
"(50, 55]",54081
"(55, 60]",41483
"(60, 65]",27246
"(65, 70]",16897
"(70, 75]",9554
"(75, 80]",5809
"(80, 85]",3336
"(85, 90]",1722
"(90, 95]",640
"(95, 100]",311
